kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZH,48.9,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,63.2,true,
Bern,CH.BE,43.4,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,61.9,true,
Luzern,CH.LU,46.7,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,56.5,true,
Uri,CH.UR,39,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,46.5,false,
Schwyz,CH.SZ,47.3,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,45.8,false,
Obwalden,CH.OW,49,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,46.4,false,
Nidwalden,CH.NW,48.9,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,50.4,true,
Glarus,CH.GL,39.6,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,49.6,false,
Zug,CH.ZG,53.4,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,55.8,true,
Fribourg,CH.FR,43.3,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,65.7,true,
Solothurn,CH.SO,46.2,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,54.5,true,
Basel-Stadt,CH.BS,51.5,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,67.5,true,
Basel-Landschaft,CH.BL,45.9,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,56.7,true,
Schaffhausen,CH.SH,65.7,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,53.3,true,
Appenzell Ausserrhoden,CH.AR,50.5,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,50.9,true,
Appenzell Innerrhoden,CH.AI,40.4,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,43.6,false,
St. Gallen,CH.SG,44.5,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,49.8,false,
Graubünden,CH.GR,50.6,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,57.3,true,
Aargau,CH.AG,43.3,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,53.2,true,
Thurgau,CH.TG,43.7,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,50,false,
Ticino,CH.TI,45.7,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,50.2,true,
Vaud,CH.VD,48.7,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,72.8,true,
Valais,CH.VS,49.2,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,60.9,true,
Neuchâtel,CH.NE,52.4,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,75.1,true,
Genève,CH.GE,49.4,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,74,true,
Jura,CH.JU,41.7,12.02.2017,Erleichterte Einbürgerung der dritten Ausländergeneration,71.2,true,
