kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZH,53,30.11.2014,Gold-Initiative,20.6,false
Bern,CH.BE,47.7,30.11.2014,Gold-Initiative,21.6,false
Luzern,CH.LU,49.8,30.11.2014,Gold-Initiative,24.7,false
Uri,CH.UR,40.8,30.11.2014,Gold-Initiative,25.9,false
Schwyz,CH.SZ,51.6,30.11.2014,Gold-Initiative,29.3,false
Obwalden,CH.OW,49.4,30.11.2014,Gold-Initiative,27.8,false
Nidwalden,CH.NW,50.5,30.11.2014,Gold-Initiative,24.6,false
Glarus,CH.GL,40.7,30.11.2014,Gold-Initiative,24.6,false
Zug,CH.ZG,55.6,30.11.2014,Gold-Initiative,20.3,false
Fribourg,CH.FR,47.5,30.11.2014,Gold-Initiative,21.1,false
Solothurn,CH.SO,46.9,30.11.2014,Gold-Initiative,23.6,false
Basel-Stadt,CH.BS,54.3,30.11.2014,Gold-Initiative,21.4,false
Basel-Landschaft,CH.BL,50.2,30.11.2014,Gold-Initiative,21.7,false
Schaffhausen,CH.SH,67.5,30.11.2014,Gold-Initiative,28.5,false
Appenzell Ausserrhoden,CH.AR,51.3,30.11.2014,Gold-Initiative,28.5,false
Appenzell Innerrhoden,CH.AI,45,30.11.2014,Gold-Initiative,26,false
St. Gallen,CH.SG,48.7,30.11.2014,Gold-Initiative,27.4,false
Graubünden,CH.GR,46.1,30.11.2014,Gold-Initiative,20.4,false
Aargau,CH.AG,49.1,30.11.2014,Gold-Initiative,24,false
Thurgau,CH.TG,46.7,30.11.2014,Gold-Initiative,27.2,false
Ticino,CH.TI,45.2,30.11.2014,Gold-Initiative,33.3,false
Vaud,CH.VD,51.8,30.11.2014,Gold-Initiative,17,false
Valais,CH.VS,52.9,30.11.2014,Gold-Initiative,21.2,false
Neuchâtel,CH.NE,43.8,30.11.2014,Gold-Initiative,20,false
Genève,CH.GE,51.1,30.11.2014,Gold-Initiative,23.5,false
Jura,CH.JU,40.4,30.11.2014,Gold-Initiative,19.4,false
