kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZH,54.3,24.11.2013,Initiative '1:12 - für gerechte Löhne',32.8,false,
Bern,CH.BE,52.8,24.11.2013,Initiative '1:12 - für gerechte Löhne',38,false,
Luzern,CH.LU,53.9,24.11.2013,Initiative '1:12 - für gerechte Löhne',29.7,false,
Uri,CH.UR,48.9,24.11.2013,Initiative '1:12 - für gerechte Löhne',31.9,false,
Schwyz,CH.SZ,56.7,24.11.2013,Initiative '1:12 - für gerechte Löhne',23.3,false,
Obwalden,CH.OW,58.1,24.11.2013,Initiative '1:12 - für gerechte Löhne',27.5,false,
Nidwalden,CH.NW,58.6,24.11.2013,Initiative '1:12 - für gerechte Löhne',25.2,false,
Glarus,CH.GL,46.7,24.11.2013,Initiative '1:12 - für gerechte Löhne',33.5,false,
Zug,CH.ZG,60.9,24.11.2013,Initiative '1:12 - für gerechte Löhne',23,false,
Fribourg,CH.FR,52.8,24.11.2013,Initiative '1:12 - für gerechte Löhne',38.1,false,
Solothurn,CH.SO,53.3,24.11.2013,Initiative '1:12 - für gerechte Löhne',33.9,false,
Basel-Stadt,CH.BS,55.6,24.11.2013,Initiative '1:12 - für gerechte Löhne',40.8,false,
Basel-Landschaft,CH.BL,52.8,24.11.2013,Initiative '1:12 - für gerechte Löhne',31.5,false,
Schaffhausen,CH.SH,66.9,24.11.2013,Initiative '1:12 - für gerechte Löhne',34.7,false,
Appenzell Ausserrhoden,CH.AR,55.4,24.11.2013,Initiative '1:12 - für gerechte Löhne',31.2,false,
Appenzell Innerrhoden,CH.AI,47.7,24.11.2013,Initiative '1:12 - für gerechte Löhne',27.9,false,
St. Gallen,CH.SG,52,24.11.2013,Initiative '1:12 - für gerechte Löhne',31.8,false,
Graubünden,CH.GR,50,24.11.2013,Initiative '1:12 - für gerechte Löhne',30.9,false,
Aargau,CH.AG,51.2,24.11.2013,Initiative '1:12 - für gerechte Löhne',28.9,false,
Thurgau,CH.TG,50.8,24.11.2013,Initiative '1:12 - für gerechte Löhne',30.7,false,
Ticino,CH.TI,51,24.11.2013,Initiative '1:12 - für gerechte Löhne',49,false,
Vaud,CH.VD,54.4,24.11.2013,Initiative '1:12 - für gerechte Löhne',37,false,
Valais,CH.VS,57.6,24.11.2013,Initiative '1:12 - für gerechte Löhne',32.7,false,
Neuchâtel,CH.NE,56.6,24.11.2013,Initiative '1:12 - für gerechte Löhne',44.5,false,
Genève,CH.GE,52.1,24.11.2013,Initiative '1:12 - für gerechte Löhne',43.1,false,
Jura,CH.JU,63.8,24.11.2013,Initiative '1:12 - für gerechte Löhne',47.8,false,
