kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZU,48.6,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',25.1,false,
Bern,CH.BE,45.3,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',23.8,false,
Luzern,CH.LU,46.8,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',18,false,
Uri,CH.UR,37.3,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',15.5,false,
Schwyz,CH.SZ,47.9,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',13.9,false,
Obwalden,CH.OW,49.2,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',13.8,false,
Nidwalden,CH.NW,49.9,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',13.2,false,
Glarus,CH.GL,37,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',18.2,false,
Zug,CH.ZG,51.8,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',16.4,false,
Fribourg,CH.FR,43.4,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',24.1,false,
Solothurn,CH.SO,44.9,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',21.2,false,
Basel-Stadt,CH.BS,51.4,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',36,false,
Basel-Landschaft,CH.BL,45.1,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',22.9,false,
Schaffhausen,CH.SH,65.4,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',24.5,false,
Appenzell Ausserrhoden,CH.AR,48.9,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',20.8,false,
Appenzell Innerrhoden,CH.AI,37.9,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',12.6,false,
St. Gallen,CH.SG,44.4,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',18.6,false,
Graubünden,CH.GR,42.9,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',17.8,false,
Aargau,CH.AG,44.5,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',18.8,false,
Thurgau,CH.TG,43.2,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',19.2,false,
Ticino,CH.TI,48.6,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',21.9,false,
Vaud,CH.VD,48.4,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',24.7,false,
Valais,CH.VS,49.6,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',19.2,false,
Neuchâtel,CH.NE,50.3,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',31.2,false,
Genève,CH.GE,51.6,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',34.7,false,
Jura,CH.JU,39,05.06.2016,Initiative 'Für ein bedingungsloses Grundeinkommen',34.4,false,
