kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZH,56.4,18.05.2014,Mindestlohn-Initiative,25.3,false
Bern,CH.BE,53.4,18.05.2014,Mindestlohn-Initiative,23.8,false
Luzern,CH.LU,58.3,18.05.2014,Mindestlohn-Initiative,18.2,false
Uri,CH.UR,51.2,18.05.2014,Mindestlohn-Initiative,17.6,false
Schwyz,CH.SZ,59.4,18.05.2014,Mindestlohn-Initiative,13.6,false
Obwalden,CH.OW,60.8,18.05.2014,Mindestlohn-Initiative,13.9,false
Nidwalden,CH.NW,63.2,18.05.2014,Mindestlohn-Initiative,12.8,false
Glarus,CH.GL,51.2,18.05.2014,Mindestlohn-Initiative,17.7,false
Zug,CH.ZG,63.1,18.05.2014,Mindestlohn-Initiative,15.8,false
Fribourg,CH.FR,57.1,18.05.2014,Mindestlohn-Initiative,24.9,false
Solothurn,CH.SO,53.9,18.05.2014,Mindestlohn-Initiative,22.3,false
Basel-Stadt,CH.BS,58.3,18.05.2014,Mindestlohn-Initiative,37.7,false
Basel-Landschaft,CH.BL,55.3,18.05.2014,Mindestlohn-Initiative,23.6,false
Schaffhausen,CH.SH,70.8,18.05.2014,Mindestlohn-Initiative,25.5,false
Appenzell Ausserrhoden,CH.AR,57.1,18.05.2014,Mindestlohn-Initiative,18.6,false
Appenzell Innerrhoden,CH.AI,51.4,18.05.2014,Mindestlohn-Initiative,12.1,false
St. Gallen,CH.SG,54.3,18.05.2014,Mindestlohn-Initiative,18.3,false
Graubünden,CH.GR,54.3,18.05.2014,Mindestlohn-Initiative,18.2,false
Aargau,CH.AG,56.2,18.05.2014,Mindestlohn-Initiative,19.2,false
Thurgau,CH.TG,54.4,18.05.2014,Mindestlohn-Initiative,17.8,false
Ticino,CH.TI,55.6,18.05.2014,Mindestlohn-Initiative,32,false
Vaud,CH.VD,58.1,18.05.2014,Mindestlohn-Initiative,28.5,false
Valais,CH.VS,61.1,18.05.2014,Mindestlohn-Initiative,18,false
Neuchâtel,CH.NE,56.6,18.05.2014,Mindestlohn-Initiative,31.9,false
Genève,CH.GE,57.1,18.05.2014,Mindestlohn-Initiative,34,false
Jura,CH.JU,53.1,18.05.2014,Mindestlohn-Initiative,35.9,false
