kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZU,51.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,61.9,true,
Bern,CH.BE,46.1,08.02.2009,Personenfreizügigkeit Schweiz-EU,62.9,true,
Luzern,CH.LU,51.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,58.1,true,
Uri,CH.UR,44,08.02.2009,Personenfreizügigkeit Schweiz-EU,51.8,true,
Schwyz,CH.SZ,54.4,08.02.2009,Personenfreizügigkeit Schweiz-EU,43.4,false,
Obwalden,CH.OW,54.4,08.02.2009,Personenfreizügigkeit Schweiz-EU,52.3,true,
Nidwalden,CH.NW,58,08.02.2009,Personenfreizügigkeit Schweiz-EU,50.3,true,
Glarus,CH.GL,54.1,08.02.2009,Personenfreizügigkeit Schweiz-EU,49,false,
Zug,CH.ZG,55.8,08.02.2009,Personenfreizügigkeit Schweiz-EU,59.2,true,
Fribourg,CH.FR,49.5,08.02.2009,Personenfreizügigkeit Schweiz-EU,64.5,true,
Solothurn,CH.SO,50.4,08.02.2009,Personenfreizügigkeit Schweiz-EU,57.8,true,
Basel-Stadt,CH.BS,56.5,08.02.2009,Personenfreizügigkeit Schweiz-EU,66.8,true,
Basel-Landschaft,CH.BL,50.6,08.02.2009,Personenfreizügigkeit Schweiz-EU,63.3,true,
Schaffhausen,CH.SH,68.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,54.3,true,
Appenzell Ausserrhoden,CH.AR,53.4,08.02.2009,Personenfreizügigkeit Schweiz-EU,57.3,true,
Appenzell Innerrhoden,CH.AI,47.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,46.7,false,
St. Gallen,CH.SG,51.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,55.6,true,
Graubünden,CH.GR,45.7,08.02.2009,Personenfreizügigkeit Schweiz-EU,59.4,true,
Aargau,CH.AG,50.3,08.02.2009,Personenfreizügigkeit Schweiz-EU,55.5,true,
Thurgau,CH.TG,49.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,56.6,true,
Ticino,CH.TI,56.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,33.9,false,
Vaud,CH.VD,53.7,08.02.2009,Personenfreizügigkeit Schweiz-EU,70.2,true,
Valais,CH.VS,57.2,08.02.2009,Personenfreizügigkeit Schweiz-EU,59.6,true,
Neuchâtel,CH.NE,55.3,08.02.2009,Personenfreizügigkeit Schweiz-EU,69.4,true,
Genève,CH.GE,54.7,08.02.2009,Personenfreizügigkeit Schweiz-EU,62.4,true,
Jura,CH.JU,49.8,08.02.2009,Personenfreizügigkeit Schweiz-EU,66.9,true,
