kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZH,42.3,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,52.5,true
Bern,CH.BE,41.1,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,54.9,true
Luzern,CH.LU,45.7,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,47.3,false
Uri,CH.UR,49.8,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,38.6,false
Schwyz,CH.SZ,50.7,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,42.8,false
Obwalden,CH.OW,54.4,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,41.4,false
Nidwalden,CH.NW,48.4,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,42,false
Glarus,CH.GL,32.1,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,48.4,false
Zug,CH.ZG,49.2,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,44.9,false
Fribourg,CH.FR,48.4,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,50.8,true
Solothurn,CH.SO,40.1,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,56.2,true
Basel-Stadt,CH.BS,44.3,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,62.2,true
Basel-Landschaft,CH.BL,43.7,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,56.7,true
Schaffhausen,CH.SH,63.4,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,57.3,true
Appenzell Ausserrhoden,CH.AR,44,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,56,true
Appenzell Innerrhoden,CH.AI,36.6,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,46.8,false
St. Gallen,CH.SG,45.5,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,51.7,true
Graubünden,CH.GR,43.9,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,42.7,false
Aargau,CH.AG,39.3,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,50.6,true
Thurgau,CH.TG,37.7,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,52.6,true
Ticino,CH.TI,45.4,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,46,false
Vaud,CH.VD,51.9,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,52.6,true
Valais,CH.VS,60.3,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,26.2,false
Neuchâtel,CH.NE,45.9,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,55.3,true
Genève,CH.GE,53.8,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,56,true
Jura,CH.JU,42.3,11.03.2012,Schluss mit uferlosem Bau von Zweitwohnungen!,53.9,true
