kanton,code,beteiligung,datum,name,ja,passed
Zürich,CH.ZU,53.3,29.11.2009,Verbot von Kriegsmaterial-Exporten,33.9,false,
Bern,CH.BE,52.1,29.11.2009,Verbot von Kriegsmaterial-Exporten,29.7,false,
Luzern,CH.LU,53.7,29.11.2009,Verbot von Kriegsmaterial-Exporten,25.6,false,
Uri,CH.UR,51.8,29.11.2009,Verbot von Kriegsmaterial-Exporten,15.6,false,
Schwyz,CH.SZ,51.3,29.11.2009,Verbot von Kriegsmaterial-Exporten,20.2,false,
Obwalden,CH.OW,61.2,29.11.2009,Verbot von Kriegsmaterial-Exporten,19.1,false,
Nidwalden,CH.NW,56.8,29.11.2009,Verbot von Kriegsmaterial-Exporten,12,false,
Glarus,CH.GL,46.7,29.11.2009,Verbot von Kriegsmaterial-Exporten,21.9,false,
Zug,CH.ZG,61.6,29.11.2009,Verbot von Kriegsmaterial-Exporten,25.4,false,
Fribourg,CH.FR,51.4,29.11.2009,Verbot von Kriegsmaterial-Exporten,29,false,
Solothurn,CH.SO,55.7,29.11.2009,Verbot von Kriegsmaterial-Exporten,26.2,false,
Basel-Stadt,CH.BS,57.5,29.11.2009,Verbot von Kriegsmaterial-Exporten,46.9,false,
Basel-Landschaft,CH.BL,51.5,29.11.2009,Verbot von Kriegsmaterial-Exporten,34.2,false,
Schaffhausen,CH.SH,69.9,29.11.2009,Verbot von Kriegsmaterial-Exporten,30,false,
Appenzell Ausserrhoden,CH.AR,57.5,29.11.2009,Verbot von Kriegsmaterial-Exporten,28.4,false,
Appenzell Innerrhoden,CH.AI,48.3,29.11.2009,Verbot von Kriegsmaterial-Exporten,23.1,false,
St. Gallen,CH.SG,53.1,29.11.2009,Verbot von Kriegsmaterial-Exporten,26.5,false,
Graubünden,CH.GR,45.9,29.11.2009,Verbot von Kriegsmaterial-Exporten,32.1,false,
Aargau,CH.AG,51.3,29.11.2009,Verbot von Kriegsmaterial-Exporten,26.5,false,
Thurgau,CH.TG,53.3,29.11.2009,Verbot von Kriegsmaterial-Exporten,21.6,false,
Ticino,CH.TI,49.4,29.11.2009,Verbot von Kriegsmaterial-Exporten,37.6,false,
Vaud,CH.VD,52.7,29.11.2009,Verbot von Kriegsmaterial-Exporten,40.5,false,
Valais,CH.VS,61.1,29.11.2009,Verbot von Kriegsmaterial-Exporten,29.2,false,
Neuchâtel,CH.NE,53.7,29.11.2009,Verbot von Kriegsmaterial-Exporten,37.2,false,
Genève,CH.GE,57.7,29.11.2009,Verbot von Kriegsmaterial-Exporten,48.2,false,
Jura,CH.JU,49.5,29.11.2009,Verbot von Kriegsmaterial-Exporten,38.9,false,
